student_id,app_usage_percentage,divice_type,internet_quality,video_completion_rate
STU100082,89,Mobile,High,64.0
STU100083,75,Laptop,High,66.4
STU100084,73,Mobile,Medium,77.6
STU100085,28,Mobile,Low,39.1
STU100086,59,Mobile,Low,54.6
STU100087,65,Laptop,Medium,93.6
STU100088,57,Laptop,Medium,52.9
STU100089,64,Mobile,Medium,65.6
STU100090,69,Mobile,High,81.3
STU100091,48,Mobile,Low,95.2
STU100092,73,Mobile,High,66.7
STU100093,65,Laptop,Medium,73.8
STU100094,45,Laptop,High,38.7
STU100095,69,Laptop,Low,68.0
STU100096,83,Mobile,Medium,85.0
STU100097,100,Mobile,Medium,50.4
STU100098,45,Laptop,High,51.5
STU100099,39,Mobile,Medium,64.7
STU100100,32,Laptop,Medium,81.6
STU100101,88,Mobile,High,44.4
STU100102,70,Laptop,Medium,32.4
STU100103,63,Mobile,High,91.4
STU100104,63,Mobile,Medium,64.2
STU100105,31,Laptop,Medium,46.9
STU100106,42,Laptop,Medium,40.6
STU100107,44,Mobile,High,43.9
STU100108,57,Laptop,High,66.4
STU100109,74,Mobile,High,86.9
STU100110,71,Laptop,Medium,49.4
STU100111,51,Mobile,Low,64.2
STU100112,45,Mobile,Medium,85.1
STU100113,97,Mobile,High,24.5
STU100114,34,Mobile,Medium,38.0
STU100115,76,Laptop,Medium,89.5
STU100116,82,Laptop,High,83.1
STU100117,76,Tablet,Medium,66.4
STU100118,79,Laptop,High,47.2
STU100119,49,Mobile,Medium,71.8
STU100120,41,Mobile,High,71.9
STU100121,96,Laptop,Medium,58.6
STU100122,62,Laptop,Medium,44.2
STU100123,89,Mobile,Medium,86.8
STU100124,12,Mobile,Low,29.9
STU100125,100,Laptop,Low,92.0
STU100126,69,Mobile,Medium,90.2
STU100127,98,Laptop,Medium,57.7
STU100128,76,Mobile,Medium,71.3
STU100129,94,Mobile,Medium,94.2
STU100130,81,Mobile,Medium,36.2
STU100131,24,Mobile,Medium,81.4
STU100132,62,Laptop,Low,24.4
STU100133,78,Mobile,Medium,38.1
STU100134,75,Mobile,Medium,22.6
STU100135,58,Mobile,Medium,46.1
STU100136,50,Mobile,High,78.5
STU100137,47,Laptop,Low,96.5
STU100138,51,Mobile,Medium,30.5
STU100139,92,Mobile,Medium,43.2
STU100140,80,Mobile,High,67.7
STU100141,80,Laptop,Medium,81.8
STU100142,60,Mobile,Medium,80.8
STU100143,100,Laptop,High,81.5
STU100144,92,Mobile,Low,62.1
STU100145,69,Laptop,Medium,84.7
STU100146,73,Tablet,Medium,63.3
STU100147,77,Mobile,Medium,61.5
STU100148,48,Laptop,High,97.7
STU100149,67,Mobile,Medium,16.0
STU100150,99,Laptop,Low,23.2
STU100151,79,Mobile,Medium,12.8
STU100152,81,Mobile,Medium,81.4
STU100153,46,Mobile,Low,76.0
STU100154,48,Mobile,Medium,69.3
STU100155,49,Laptop,High,46.5
STU100156,90,Mobile,Medium,78.0
STU100157,48,Laptop,Medium,33.5
STU100158,51,Mobile,Medium,84.7
STU100159,81,Mobile,Medium,72.5
STU100160,88,Mobile,Medium,63.2
STU100161,84,Mobile,Medium,28.9
STU100162,69,Mobile,Low,52.5
STU100163,34,Laptop,Medium,33.1
STU100164,77,Mobile,High,53.9
STU100165,87,Mobile,High,84.2
STU100166,65,Laptop,Medium,37.9
STU100167,58,Laptop,Low,63.4
STU100168,100,Mobile,Medium,73.6
STU100169,59,Mobile,High,44.9
STU100170,82,Mobile,Medium,33.3
STU100171,72,Mobile,High,68.7
STU100172,81,Laptop,Medium,38.7
STU100173,60,Mobile,Low,67.9
STU100174,100,Mobile,High,75.9
STU100175,70,Laptop,Medium,85.8
STU100176,97,Mobile,Medium,60.0
STU100177,100,Mobile,Medium,37.3
STU100178,62,Laptop,High,32.4
STU100179,63,Laptop,High,56.0
STU100180,66,Mobile,High,15.3
STU100181,39,Laptop,Medium,27.1
STU100182,74,Laptop,High,39.6
STU100183,100,Mobile,Medium,63.1
STU100184,70,Mobile,Low,27.7
STU100185,66,Laptop,High,32.2
STU100186,69,Laptop,Medium,73.0
STU100187,100,Mobile,Medium,47.0
STU100188,59,Laptop,High,38.5
STU100189,76,Mobile,Medium,35.1
STU100190,66,Mobile,Low,83.8
STU100191,83,Laptop,Medium,78.9
STU100192,70,Mobile,Medium,77.2
STU100193,82,Tablet,Medium,39.6
STU100194,51,Laptop,Medium,76.3
STU100195,64,Laptop,High,80.8
STU100196,58,Mobile,High,94.4
STU100197,62,Mobile,Medium,56.7
STU100198,87,Mobile,Low,66.0
STU100199,64,Laptop,Medium,89.2
STU100200,64,Mobile,Medium,55.8
STU100201,71,Laptop,Medium,88.8
STU100202,76,Mobile,High,59.9
STU100203,60,Laptop,Medium,44.9
STU100204,94,Mobile,Low,39.2
STU100205,99,Mobile,High,86.3
STU100206,81,Tablet,Medium,57.4
STU100207,64,Mobile,High,89.8
STU100208,89,Mobile,High,44.5
STU100209,69,Mobile,High,74.5
STU100210,42,Mobile,Medium,35.1
STU100211,74,Tablet,Medium,85.7
STU100212,71,Mobile,Low,71.4
STU100213,79,Mobile,High,70.8
STU100214,67,Laptop,High,67.1
STU100215,35,Mobile,Low,64.5
STU100216,59,Laptop,Medium,52.1
STU100217,83,Laptop,Medium,52.0
STU100218,100,Mobile,High,59.4
STU100219,61,Laptop,High,51.3
STU100220,99,Mobile,Medium,72.0
STU100221,67,Mobile,Medium,76.8
STU100222,63,Laptop,Medium,80.5
STU100223,48,Mobile,Medium,74.6
STU100224,78,Laptop,High,70.7
STU100225,100,Laptop,Medium,59.4
STU100226,82,Mobile,Medium,64.0
STU100227,63,Mobile,Medium,83.4
STU100228,73,Laptop,Medium,82.5
STU100229,85,Mobile,High,66.8
STU100230,61,Mobile,High,59.2
STU100231,74,Mobile,Medium,61.1
STU100232,76,Mobile,High,46.8
STU100233,74,Laptop,Medium,56.8
STU100234,88,Mobile,Low,36.0
STU100235,82,Mobile,High,92.8
STU100236,25,Laptop,High,47.4
STU100237,30,Laptop,High,38.6
STU100238,79,Laptop,High,61.5
STU100239,44,Laptop,Medium,25.6
STU100240,72,Mobile,Low,78.5
STU100241,54,Laptop,Medium,61.7
STU100242,71,Mobile,High,88.0
STU100243,57,Laptop,Medium,88.4
STU100244,65,Mobile,Medium,67.0
STU100245,56,Laptop,Medium,69.6
STU100246,89,Mobile,Medium,88.1
STU100247,84,Mobile,Medium,49.9
STU100248,73,Mobile,Medium,45.3
STU100249,92,Laptop,High,72.3
STU100250,60,Laptop,Medium,87.1
STU100251,64,Mobile,Low,48.4
STU100252,54,Mobile,Medium,20.2
STU100253,48,Laptop,Medium,32.8
STU100254,44,Laptop,Medium,63.4
STU100255,95,Laptop,High,78.4
STU100256,48,Laptop,Low,54.1
STU100257,74,Mobile,Low,74.5
STU100258,95,Laptop,Medium,72.8
STU100259,56,Mobile,High,77.6
STU100260,95,Mobile,Medium,83.3
STU100261,77,Mobile,Medium,74.4
STU100262,41,Mobile,Medium,46.0
STU100263,56,Mobile,High,51.6
STU100264,78,Laptop,High,47.0
STU100265,50,Laptop,High,43.9
STU100266,95,Mobile,Medium,89.3
STU100267,44,Mobile,Low,75.3
STU100268,63,Laptop,Medium,86.0
STU100269,55,Mobile,High,91.3
STU100270,62,Mobile,High,34.2
STU100271,80,Mobile,Medium,45.0
STU100272,74,Mobile,High,30.4
STU100273,59,Mobile,Medium,52.0
STU100274,66,Laptop,Medium,38.0
STU100275,66,Mobile,Medium,49.3
STU100276,73,Mobile,Medium,52.6
STU100277,41,Laptop,High,86.3
STU100278,77,Laptop,Medium,54.0
STU100279,30,Laptop,Medium,70.3
STU100280,64,Laptop,Medium,82.9
STU100281,55,Mobile,High,46.0
STU100282,100,Laptop,Medium,77.2
STU100283,66,Mobile,High,80.7
STU100284,68,Mobile,Medium,67.8
STU100285,51,Mobile,Low,38.5
STU100286,53,Mobile,Low,76.3
STU100287,77,Laptop,Medium,71.6
STU100288,65,Mobile,Medium,92.7
STU100289,67,Mobile,High,24.3
STU100290,84,Mobile,High,60.2
STU100291,100,Mobile,High,14.7
STU100292,58,Mobile,Medium,30.5
STU100293,80,Mobile,Low,57.7
STU100294,53,Mobile,High,43.7
STU100295,64,Laptop,Medium,58.2
STU100296,83,Laptop,Medium,95.7
STU100297,94,Mobile,Medium,80.6
STU100298,65,Laptop,High,83.0
STU100299,100,Mobile,Medium,55.6
STU100300,100,Mobile,Medium,53.3
STU100301,49,Mobile,Medium,45.8
STU100302,100,Mobile,High,46.2
STU100303,93,Laptop,High,68.9
STU100304,46,Mobile,Medium,51.9
STU100305,38,Tablet,Low,70.6
STU100306,66,Laptop,Low,54.3
STU100307,72,Tablet,High,76.6
STU100308,81,Laptop,Medium,42.4
STU100309,95,Mobile,Medium,75.3
STU100310,43,Laptop,High,48.9
STU100311,75,Laptop,High,33.8
STU100312,98,Mobile,Medium,62.8
STU100313,81,Mobile,Medium,64.9
STU100314,77,Mobile,Medium,92.1
STU100315,88,Laptop,High,88.2
STU100316,55,Laptop,Medium,53.2
STU100317,76,Laptop,Medium,69.3
STU100318,61,Laptop,Low,80.3
STU100319,100,Mobile,Medium,71.1
STU100320,79,Mobile,High,90.7
STU100321,63,Laptop,Medium,69.8
STU100322,52,Mobile,Medium,52.8
STU100323,78,Mobile,Medium,82.6
STU100324,38,Laptop,Medium,86.0
STU100325,65,Mobile,Medium,38.9
STU100326,62,Mobile,Medium,87.5
STU100327,62,Tablet,High,76.2
STU100328,66,Mobile,Low,75.5
STU100329,50,Laptop,Medium,70.7
STU100330,100,Mobile,High,60.2
STU100331,77,Laptop,Medium,50.3
STU100332,83,Mobile,High,73.0
STU100333,84,Mobile,Medium,64.8
STU100334,70,Laptop,Medium,70.6
STU100335,71,Laptop,Medium,77.4
STU100336,50,Mobile,Medium,62.1
STU100337,82,Laptop,High,55.0
STU100338,95,Mobile,Medium,93.0
STU100339,36,Mobile,Medium,88.3
STU100340,58,Mobile,Medium,47.5
STU100341,46,Mobile,High,25.2
STU100342,51,Laptop,Medium,58.8
STU100343,81,Mobile,Medium,48.6
STU100344,49,Mobile,Medium,85.8
STU100345,29,Mobile,Medium,52.7
STU100346,49,Tablet,Medium,71.4
STU100347,89,Mobile,High,75.9
STU100348,37,Mobile,Medium,66.1
STU100349,79,Laptop,Medium,39.8
STU100350,83,Mobile,Low,44.7
STU100351,54,Mobile,High,77.4
STU100352,41,Laptop,Medium,33.6
STU100353,100,Laptop,Medium,79.2
STU100354,99,Mobile,Medium,89.3
STU100355,73,Mobile,Medium,82.9
STU100356,55,Laptop,High,68.3
STU100357,75,Laptop,High,57.9
STU100358,45,Laptop,Medium,66.5
STU100359,100,Mobile,High,85.0
STU100360,65,Mobile,High,76.5
STU100361,57,Laptop,High,90.0
STU100362,81,Laptop,Medium,49.0
STU100363,92,Laptop,High,69.0
STU100364,71,Mobile,Medium,94.9
STU100365,46,Laptop,Medium,53.8
STU100366,80,Mobile,Medium,36.2
STU100367,77,Laptop,Medium,71.3
STU100368,15,Mobile,High,58.3
STU100369,98,Mobile,Medium,87.8
STU100370,35,Mobile,Medium,68.3
STU100371,76,Mobile,Medium,34.6
STU100372,85,Laptop,Low,72.0
STU100373,88,Mobile,Medium,33.1
STU100374,49,Mobile,Medium,55.9
STU100375,73,Laptop,Medium,65.5
STU100376,64,Mobile,High,86.8
STU100377,74,Laptop,Medium,70.8
STU100378,64,Laptop,Low,35.7
STU100379,53,Mobile,High,85.0
STU100380,86,Mobile,Medium,41.0
STU100381,100,Mobile,Medium,58.7
STU100382,70,Mobile,High,42.8
STU100383,100,Laptop,High,30.1
STU100384,85,Mobile,High,50.7
STU100385,90,Mobile,Low,25.0
STU100386,85,Laptop,Medium,79.8
STU100387,86,Laptop,High,89.1
STU100388,68,Mobile,Medium,61.0
STU100389,59,Mobile,Medium,58.9
STU100390,42,Laptop,Medium,53.7
STU100391,73,Laptop,Low,78.1
STU100392,82,Mobile,High,82.1
STU100393,64,Laptop,High,70.4
STU100394,54,Mobile,Low,72.7
STU100395,66,Mobile,Medium,73.8
STU100396,74,Mobile,Medium,82.4
STU100397,91,Laptop,High,72.2
STU100398,100,Mobile,High,66.6
STU100399,87,Laptop,Medium,82.6
STU100400,74,Laptop,Medium,56.2
STU100401,86,Laptop,Medium,93.7
STU100402,97,Laptop,High,69.8
STU100403,58,Laptop,High,69.8
STU100404,70,Mobile,Medium,74.3
STU100405,63,Mobile,Medium,37.6
STU100406,89,Mobile,Medium,69.9
STU100407,33,Mobile,Medium,83.0
STU100408,75,Mobile,High,77.4
STU100409,35,Laptop,High,86.6
STU100410,68,Mobile,Medium,43.6
STU100411,61,Mobile,Medium,74.9
STU100412,88,Laptop,Medium,65.3
STU100413,71,Laptop,Medium,82.1
STU100414,53,Mobile,Medium,58.5
STU100415,15,Mobile,Medium,92.3
STU100416,46,Mobile,Medium,38.5
STU100417,81,Laptop,Medium,83.3
STU100418,64,Laptop,Low,69.2
STU100419,65,Laptop,High,85.1
STU100420,57,Laptop,Medium,84.6
STU100421,72,Tablet,High,71.6
STU100422,46,Mobile,Medium,79.0
STU100423,79,Mobile,Medium,84.7
STU100424,49,Mobile,Medium,70.4
STU100425,78,Mobile,Medium,88.1
STU100426,93,Mobile,Low,85.3
STU100427,67,Mobile,Medium,69.3
STU100428,88,Laptop,Medium,95.1
STU100429,70,Mobile,Medium,69.3
STU100430,80,Mobile,Medium,70.3
STU100431,75,Tablet,Medium,35.0
STU100432,69,Tablet,Medium,80.5
STU100433,100,Laptop,High,73.4
STU100434,67,Mobile,Medium,87.8
STU100435,94,Mobile,Low,54.9
STU100436,72,Mobile,Medium,46.5
STU100437,65,Mobile,Low,50.0
STU100438,69,Laptop,Medium,58.5
STU100439,63,Mobile,Medium,90.2
STU100440,76,Mobile,Medium,99.2
STU100441,60,Laptop,Medium,68.1
STU100442,39,Laptop,Medium,63.9
STU100443,54,Tablet,Medium,47.3
STU100444,71,Mobile,High,56.1
STU100445,66,Laptop,Medium,65.2
STU100446,86,Laptop,High,86.8
STU100447,64,Mobile,Medium,71.0
STU100448,89,Mobile,Medium,73.9
STU100449,1,Mobile,High,25.0
STU100450,83,Mobile,Medium,53.2
STU100451,48,Mobile,High,42.5
STU100452,64,Mobile,Medium,90.9
STU100453,47,Mobile,High,80.1
STU100454,7,Laptop,Low,74.9
STU100455,67,Laptop,High,43.0
STU100456,69,Mobile,High,71.0
STU100457,96,Mobile,High,91.3
STU100458,82,Mobile,Medium,29.8
STU100459,47,Mobile,Medium,45.9
STU100460,50,Laptop,Low,77.7
STU100461,51,Laptop,High,28.0
STU100462,58,Mobile,High,48.5
STU100463,50,Laptop,High,84.6
STU100464,71,Mobile,Low,73.7
STU100465,72,Mobile,Medium,73.4
STU100466,80,Mobile,Medium,50.9
STU100467,77,Mobile,High,48.6
STU100468,68,Laptop,Medium,31.7
STU100469,86,Mobile,Medium,73.4
STU100470,51,Mobile,Medium,89.4
STU100471,54,Mobile,Medium,45.1
STU100472,60,Laptop,Medium,69.2
STU100473,81,Laptop,High,31.3
STU100474,87,Mobile,High,26.5
STU100475,79,Laptop,Medium,73.9
STU100476,35,Mobile,High,67.3
STU100477,100,Laptop,High,97.3
STU100478,97,Mobile,Medium,54.0
STU100479,92,Mobile,High,85.5
STU100480,95,Mobile,High,42.6
STU100481,76,Mobile,Low,42.0
STU100482,48,Mobile,High,37.5
STU100483,75,Mobile,Medium,73.2
STU100484,48,Laptop,High,19.6
STU100485,65,Mobile,High,57.5
STU100486,45,Mobile,Low,44.1
STU100487,67,Mobile,High,40.0
STU100488,66,Mobile,Medium,59.5
STU100489,99,Mobile,Medium,69.0
STU100490,40,Laptop,High,72.6
STU100491,83,Laptop,Medium,83.2
STU100492,89,Mobile,Medium,50.6
STU100493,69,Mobile,Medium,79.7
STU100494,51,Mobile,Medium,51.8
STU100495,67,Mobile,High,54.4
STU100496,77,Laptop,High,83.5
STU100497,91,Mobile,Medium,58.9
STU100498,81,Mobile,Medium,47.4
STU100499,37,Mobile,High,88.4
STU100500,68,Mobile,Medium,82.6
STU100501,55,Laptop,Medium,24.2
STU100502,42,Mobile,Medium,90.4
STU100503,32,Laptop,Medium,69.2
STU100504,81,Tablet,Medium,94.8
STU100505,51,Mobile,Low,65.0
STU100506,73,Mobile,Low,57.2
STU100507,64,Mobile,Medium,28.9
STU100508,68,Mobile,Medium,87.6
STU100509,78,Laptop,High,85.0
STU100510,81,Laptop,Medium,24.3
STU100511,95,Laptop,Medium,26.7
STU100512,67,Mobile,Low,69.2
STU100513,91,Mobile,High,96.7
STU100514,84,Mobile,Medium,29.9
STU100515,79,Mobile,Low,53.4
STU100516,59,Mobile,High,50.6
STU100517,58,Mobile,Medium,81.7
STU100518,85,Mobile,Low,53.3
STU100519,57,Mobile,Low,61.1
STU100520,59,Mobile,Medium,57.5
STU100521,90,Mobile,High,52.2
STU100522,63,Laptop,Medium,94.9
STU100523,57,Mobile,Medium,45.4
STU100524,40,Mobile,High,73.1
STU100525,96,Laptop,High,80.5
STU100526,61,Mobile,Low,82.3
STU100527,24,Laptop,High,77.2
STU100528,93,Mobile,Medium,72.5
STU100529,78,Laptop,High,48.4
STU100530,97,Laptop,Low,39.8
STU100531,87,Mobile,Medium,54.0
STU100532,80,Mobile,Low,38.2
STU100533,59,Laptop,High,42.0
STU100534,63,Mobile,Medium,60.0
STU100535,81,Laptop,Medium,82.7
STU100536,64,Mobile,High,88.4
STU100537,50,Mobile,Medium,39.3
STU100538,57,Laptop,Medium,47.6
STU100539,50,Laptop,High,77.8
STU100540,57,Mobile,High,54.4
STU100541,63,Laptop,High,48.6
STU100542,34,Mobile,Low,72.4
STU100543,100,Laptop,Low,54.7
STU100544,48,Laptop,High,71.4
STU100545,63,Mobile,Medium,75.6
STU100546,100,Mobile,Medium,55.0
STU100547,50,Mobile,Medium,72.0
STU100548,64,Laptop,Medium,43.1
STU100549,78,Mobile,Medium,56.5
STU100550,57,Laptop,Medium,68.5
STU100551,90,Mobile,High,76.9
STU100552,91,Mobile,High,74.7
STU100553,68,Laptop,High,68.8
STU100554,34,Mobile,Medium,76.6
STU100555,69,Mobile,Medium,31.3
STU100556,72,Mobile,Medium,66.6
STU100557,21,Mobile,High,80.8
STU100558,78,Mobile,Medium,80.7
STU100559,89,Mobile,Medium,75.8
STU100560,82,Mobile,Medium,78.1
STU100561,75,Tablet,High,46.5
STU100562,80,Mobile,Low,95.4
STU100563,71,Laptop,Medium,89.9
STU100564,63,Laptop,Medium,44.6
STU100565,62,Mobile,High,65.9
STU100566,93,Laptop,Medium,26.1
STU100567,52,Mobile,Medium,58.1
STU100568,76,Mobile,High,89.2
STU100569,50,Mobile,Low,73.6
STU100570,58,Mobile,High,95.5
STU100571,58,Laptop,Low,96.7
STU100572,89,Laptop,Medium,49.0
STU100573,78,Mobile,Medium,55.4
STU100574,48,Mobile,High,63.2
STU100575,100,Mobile,Medium,52.6
STU100576,70,Laptop,Medium,44.6
STU100577,100,Laptop,High,78.4
STU100578,53,Mobile,Medium,61.4
STU100579,99,Mobile,Low,49.7
STU100580,78,Tablet,Low,70.0
STU100581,60,Mobile,Medium,87.9
STU100582,60,Laptop,High,61.7
STU100583,61,Tablet,Low,55.9
STU100584,56,Mobile,Medium,44.5
STU100585,58,Mobile,Medium,54.5
STU100586,81,Mobile,Medium,68.2
STU100587,58,Laptop,Medium,50.2
STU100588,78,Laptop,Medium,52.2
STU100589,87,Mobile,High,25.6
STU100590,87,Laptop,High,68.4
STU100591,52,Mobile,Medium,58.3
STU100592,76,Mobile,Medium,79.7
STU100593,58,Mobile,High,73.4
STU100594,72,Laptop,Medium,77.8
STU100595,65,Tablet,High,91.4
STU100596,54,Laptop,Medium,82.3
STU100597,47,Mobile,High,75.6
STU100598,36,Laptop,Medium,45.7
STU100599,61,Mobile,Low,56.3
STU100600,75,Mobile,Medium,97.6
STU100601,43,Mobile,Medium,92.1
STU100602,64,Mobile,High,48.7
STU100603,51,Laptop,High,45.3
STU100604,82,Mobile,Medium,67.3
STU100605,84,Laptop,High,87.8
STU100606,66,Mobile,Medium,95.4
STU100607,78,Mobile,High,60.8
STU100608,34,Tablet,Low,59.0
STU100609,92,Laptop,High,45.3
STU100610,100,Mobile,Medium,79.6
STU100611,84,Mobile,Medium,68.7
STU100612,72,Laptop,Medium,59.8
STU100613,90,Laptop,Medium,84.2
STU100614,67,Mobile,High,64.8
STU100615,68,Mobile,High,91.2
STU100616,50,Mobile,Medium,87.5
STU100617,84,Mobile,High,90.5
STU100618,92,Mobile,Low,72.3
STU100619,62,Laptop,Medium,71.2
STU100620,69,Laptop,High,46.6
STU100621,53,Mobile,Medium,67.1
STU100622,71,Mobile,Medium,79.2
STU100623,86,Mobile,Medium,91.8
STU100624,100,Mobile,Medium,66.4
STU100625,66,Laptop,Medium,76.0
STU100626,56,Tablet,Medium,88.2
STU100627,86,Mobile,High,54.6
STU100628,100,Laptop,High,50.9
STU100629,76,Laptop,Low,85.2
STU100630,98,Laptop,Medium,54.6
STU100631,59,Mobile,Medium,46.9
STU100632,87,Tablet,High,63.1
STU100633,64,Mobile,High,67.0
STU100634,76,Mobile,Medium,74.1
STU100635,39,Mobile,High,71.0
STU100636,83,Mobile,Medium,73.5
STU100637,94,Laptop,Medium,18.9
STU100638,93,Laptop,High,71.3
STU100639,90,Laptop,High,53.0
STU100640,87,Mobile,Medium,77.5
STU100641,54,Mobile,Medium,41.3
STU100642,79,Laptop,High,64.9
STU100643,77,Mobile,Medium,69.0
STU100644,74,Mobile,High,44.5
STU100645,73,Mobile,Low,35.5
STU100646,37,Mobile,Low,65.8
STU100647,41,Laptop,Low,82.2
STU100648,69,Laptop,Low,86.2
STU100649,62,Mobile,Medium,27.8
STU100650,82,Mobile,Medium,74.7
STU100651,100,Laptop,Medium,47.3
STU100652,71,Mobile,Medium,63.1
STU100653,75,Mobile,Medium,69.8
STU100654,79,Mobile,Medium,58.1
STU100655,81,Mobile,Low,82.4
STU100656,60,Laptop,Medium,61.4
STU100657,94,Mobile,Medium,27.2
STU100658,38,Mobile,Medium,68.2
STU100659,88,Mobile,High,44.6
STU100660,56,Laptop,High,57.7
STU100661,74,Mobile,Medium,43.2
STU100662,78,Mobile,Medium,63.5
STU100663,62,Mobile,Low,55.6
STU100664,57,Laptop,Medium,65.3
STU100665,81,Mobile,High,72.5
STU100666,88,Laptop,Medium,83.9
STU100667,66,Mobile,Medium,92.1
STU100668,73,Mobile,High,69.9
STU100669,78,Laptop,Low,79.8
STU100670,89,Mobile,High,52.5
STU100671,37,Tablet,Medium,59.0
STU100672,64,Mobile,Low,65.2
STU100673,48,Mobile,Medium,94.2
STU100674,58,Laptop,Medium,61.5
STU100675,92,Mobile,High,64.2
STU100676,99,Mobile,Medium,54.2
STU100677,55,Mobile,Low,34.8
STU100678,59,Mobile,Medium,56.8
STU100679,86,Mobile,Medium,56.9
STU100680,32,Laptop,Medium,84.6
STU100681,69,Laptop,Low,31.6
STU100682,41,Mobile,Medium,33.3
STU100683,100,Laptop,Medium,78.3
STU100684,72,Tablet,Low,62.2
STU100685,41,Mobile,High,65.1
STU100686,39,Mobile,High,43.3
STU100687,78,Mobile,Low,46.6
STU100688,72,Mobile,High,38.3
STU100689,71,Laptop,High,65.2
STU100690,60,Laptop,Medium,65.0
STU100691,71,Laptop,High,54.9
STU100692,94,Mobile,Medium,26.8
STU100693,78,Mobile,Medium,92.0
STU100694,86,Laptop,High,45.0
STU100695,96,Mobile,Medium,25.0
STU100696,100,Laptop,Medium,30.2
STU100697,66,Laptop,High,25.0
STU100698,67,Mobile,High,55.5
STU100699,88,Mobile,High,46.6
STU100700,51,Mobile,High,73.9
STU100701,41,Laptop,Medium,10.6
STU100702,73,Mobile,Low,54.5
STU100703,69,Mobile,Medium,71.8
STU100704,33,Mobile,Medium,46.5
STU100705,47,Laptop,High,19.0
STU100706,33,Mobile,Low,55.7
STU100707,79,Mobile,Low,56.3
STU100708,62,Mobile,Medium,50.5
STU100709,83,Laptop,High,93.6
STU100710,86,Mobile,High,85.9
STU100711,22,Mobile,High,53.8
STU100712,64,Mobile,Medium,42.5
STU100713,80,Mobile,High,70.0
STU100714,100,Laptop,High,38.3
STU100715,67,Mobile,Medium,26.6
STU100716,58,Mobile,Medium,14.0
STU100717,96,Mobile,Medium,90.5
STU100718,67,Mobile,High,65.5
STU100719,58,Laptop,Low,41.4
STU100720,76,Mobile,Low,52.5
STU100721,76,Mobile,Low,56.6
STU100722,85,Mobile,High,71.6
STU100723,100,Mobile,Medium,75.0
STU100724,68,Laptop,Medium,96.2
