payment_mode,student_id,payment_amount,discount_used,completion_status
UPI,STU100380,4690,No,Not Completed
UPI,STU100381,3987,No,Not Completed
Free,STU100382,0,No,Not Completed
Free,STU100383,0,No,Not Completed
Scholarship,STU100384,461,No,Not Completed
Debit Card,STU100385,4446,No,Completed
Free,STU100386,0,No,Completed
Credit Card,STU100387,5268,No,Not Completed
NetBanking,STU100388,4144,No,Completed
Free,STU100389,0,No,Not Completed
Credit Card,STU100390,4179,No,Not Completed
Scholarship,STU100391,1601,Yes,Not Completed
NetBanking,STU100392,3924,Yes,Completed
Free,STU100393,0,No,Not Completed
Free,STU100394,0,No,Completed
Scholarship,STU100395,1681,No,Completed
UPI,STU100396,4112,No,Completed
NetBanking,STU100397,5268,No,Not Completed
Free,STU100398,0,No,Not Completed
UPI,STU100399,4064,No,Not Completed
Debit Card,STU100400,3120,No,Completed
Free,STU100401,0,No,Completed
UPI,STU100402,6824,No,Completed
Credit Card,STU100403,6758,No,Completed
Free,STU100404,0,No,Completed
UPI,STU100405,3683,No,Not Completed
Debit Card,STU100406,7003,No,Not Completed
Debit Card,STU100407,4193,No,Completed
NetBanking,STU100408,5195,No,Not Completed
Debit Card,STU100409,4566,No,Not Completed
Credit Card,STU100410,3932,No,Not Completed
Credit Card,STU100411,4016,Yes,Not Completed
Debit Card,STU100412,3716,Yes,Completed
Credit Card,STU100413,3505,No,Completed
Credit Card,STU100414,6644,No,Not Completed
Debit Card,STU100415,4099,No,Completed
UPI,STU100416,3554,No,Completed
UPI,STU100417,3843,No,Completed
Debit Card,STU100418,3196,Yes,Completed
Debit Card,STU100419,6242,No,Not Completed
NetBanking,STU100420,5172,No,Completed
UPI,STU100421,5575,No,Not Completed
Credit Card,STU100422,4525,No,Completed
Debit Card,STU100423,3887,No,Not Completed
Debit Card,STU100424,3371,No,Completed
Debit Card,STU100425,4686,Yes,Completed
UPI,STU100426,4340,No,Completed
Free,STU100427,0,No,Not Completed
NetBanking,STU100428,5922,No,Completed
Free,STU100429,0,No,Not Completed
Scholarship,STU100430,752,No,Not Completed
Debit Card,STU100431,3531,No,Not Completed
Credit Card,STU100432,4153,No,Completed
Debit Card,STU100433,6892,No,Not Completed
Free,STU100434,0,No,Completed
Debit Card,STU100435,6196,No,Completed
Scholarship,STU100436,1314,No,Not Completed
UPI,STU100437,5130,No,Not Completed
Free,STU100438,0,No,Not Completed
NetBanking,STU100439,2627,Yes,Not Completed
Free,STU100440,0,No,Completed
UPI,STU100441,4686,No,Not Completed
Debit Card,STU100442,4153,No,Not Completed
Debit Card,STU100443,3407,No,Completed
NetBanking,STU100444,2556,Yes,Not Completed
Free,STU100445,0,Yes,Completed
UPI,STU100446,4579,No,Completed
UPI,STU100447,3056,No,Completed
UPI,STU100448,3543,No,Not Completed
Credit Card,STU100449,4237,No,Not Completed
Debit Card,STU100450,3834,No,Completed
UPI,STU100451,3409,Yes,Completed
NetBanking,STU100452,3638,No,Not Completed
Debit Card,STU100453,6833,No,Completed
NetBanking,STU100454,6249,No,Completed
Debit Card,STU100455,4144,No,Not Completed
Credit Card,STU100456,3754,Yes,Completed
Free,STU100457,0,No,Not Completed
Free,STU100458,0,No,Not Completed
Free,STU100459,0,No,Completed
Free,STU100460,0,No,Not Completed
Scholarship,STU100461,1342,No,Not Completed
Credit Card,STU100462,4667,No,Completed
Free,STU100463,0,No,Not Completed
NetBanking,STU100464,3281,No,Completed
Free,STU100465,0,No,Completed
UPI,STU100466,4099,Yes,Completed
Free,STU100467,0,No,Not Completed
Credit Card,STU100468,3737,Yes,Not Completed
UPI,STU100469,3469,Yes,Not Completed
UPI,STU100470,3514,Yes,Completed
Free,STU100471,0,No,Completed
NetBanking,STU100472,5745,No,Completed
Credit Card,STU100473,2956,Yes,Not Completed
UPI,STU100474,6235,No,Completed
Credit Card,STU100475,4249,No,Completed
NetBanking,STU100476,2937,No,Completed
UPI,STU100477,4136,Yes,Completed
Debit Card,STU100478,3867,No,Completed
Debit Card,STU100479,3571,No,Completed
Debit Card,STU100480,3312,Yes,Completed
Free,STU100481,0,No,Not Completed
Debit Card,STU100482,4702,No,Not Completed
Debit Card,STU100483,4811,No,Completed
Credit Card,STU100484,4084,No,Not Completed
Debit Card,STU100485,3065,No,Completed
Credit Card,STU100486,4093,Yes,Completed
Debit Card,STU100487,7079,No,Not Completed
Credit Card,STU100488,3902,No,Completed
Debit Card,STU100489,6535,No,Completed
Free,STU100490,0,No,Not Completed
NetBanking,STU100491,5588,No,Not Completed
NetBanking,STU100492,4192,No,Not Completed
UPI,STU100493,3421,No,Completed
Free,STU100494,0,No,Not Completed
Debit Card,STU100495,3239,No,Not Completed
UPI,STU100496,4790,No,Completed
NetBanking,STU100497,3953,Yes,Not Completed
Debit Card,STU100498,5322,No,Not Completed
UPI,STU100499,6088,No,Completed
Scholarship,STU100500,1394,No,Completed
Free,STU100501,0,No,Not Completed
UPI,STU100502,2724,Yes,Not Completed
Debit Card,STU100503,2982,No,Not Completed
Credit Card,STU100504,4394,No,Completed
Free,STU100505,0,No,Completed
UPI,STU100506,3938,No,Not Completed
Debit Card,STU100507,6038,No,Not Completed
Free,STU100508,0,Yes,Not Completed
Free,STU100509,0,No,Completed
UPI,STU100510,3989,No,Not Completed
UPI,STU100511,4536,Yes,Not Completed
UPI,STU100512,4082,No,Completed
Debit Card,STU100513,6320,No,Completed
Free,STU100514,0,No,Not Completed
Debit Card,STU100515,4544,No,Not Completed
Scholarship,STU100516,1573,No,Not Completed
UPI,STU100517,3386,No,Completed
Free,STU100518,0,No,Not Completed
UPI,STU100519,4255,No,Completed
Credit Card,STU100520,3753,No,Not Completed
Credit Card,STU100521,4043,Yes,Completed
Credit Card,STU100522,4171,No,Not Completed
UPI,STU100523,3272,Yes,Not Completed
Debit Card,STU100524,3681,No,Not Completed
NetBanking,STU100525,4556,Yes,Completed
UPI,STU100526,6129,No,Completed
UPI,STU100527,6561,No,Not Completed
Free,STU100528,0,No,Not Completed
Credit Card,STU100529,2959,Yes,Completed
Free,STU100530,0,No,Completed
UPI,STU100531,3261,No,Not Completed
Free,STU100532,0,Yes,Not Completed
Credit Card,STU100533,3079,No,Completed
UPI,STU100534,6152,No,Completed
Free,STU100535,0,No,Not Completed
UPI,STU100536,4031,No,Completed
NetBanking,STU100537,3255,Yes,Completed
UPI,STU100538,5557,No,Not Completed
Free,STU100539,0,No,Completed
Free,STU100540,0,Yes,Not Completed
Free,STU100541,0,No,Not Completed
Free,STU100542,0,No,Completed
Credit Card,STU100543,4275,No,Completed
UPI,STU100544,3459,No,Completed
NetBanking,STU100545,5257,No,Completed
UPI,STU100546,5909,No,Completed
UPI,STU100547,3518,No,Not Completed
UPI,STU100548,5632,No,Not Completed
Debit Card,STU100549,4201,No,Completed
NetBanking,STU100550,3135,No,Completed
NetBanking,STU100551,5045,Yes,Completed
Debit Card,STU100552,4399,No,Not Completed
Credit Card,STU100553,3601,No,Not Completed
Free,STU100554,0,No,Completed
NetBanking,STU100555,6565,No,Not Completed
Free,STU100556,0,Yes,Not Completed
UPI,STU100557,3815,Yes,Completed
NetBanking,STU100558,4641,No,Not Completed
Debit Card,STU100559,7107,No,Completed
Credit Card,STU100560,4450,No,Not Completed
Scholarship,STU100561,2131,No,Not Completed
Debit Card,STU100562,6459,No,Completed
Debit Card,STU100563,4166,No,Completed
UPI,STU100564,5411,No,Not Completed
Debit Card,STU100565,5695,No,Completed
Scholarship,STU100566,1112,No,Completed
Free,STU100567,0,No,Completed
NetBanking,STU100568,6021,No,Completed
Free,STU100569,0,No,Completed
Scholarship,STU100570,2225,No,Completed
Scholarship,STU100571,2801,No,Completed
UPI,STU100572,4015,Yes,Not Completed
UPI,STU100573,5165,No,Completed
NetBanking,STU100574,4675,No,Not Completed
UPI,STU100575,3386,No,Not Completed
UPI,STU100576,5871,No,Not Completed
UPI,STU100577,5451,No,Not Completed
Credit Card,STU100578,4977,No,Completed
Free,STU100579,0,No,Not Completed
UPI,STU100580,5162,Yes,Completed
UPI,STU100581,4563,No,Completed
UPI,STU100582,3047,No,Completed
Debit Card,STU100583,5072,No,Completed
Debit Card,STU100584,4666,Yes,Not Completed
Credit Card,STU100585,3795,Yes,Completed
UPI,STU100586,6381,No,Completed
UPI,STU100587,3254,Yes,Not Completed
UPI,STU100588,3263,No,Not Completed
Free,STU100589,0,Yes,Not Completed
NetBanking,STU100590,3919,No,Not Completed
Debit Card,STU100591,4189,No,Completed
Debit Card,STU100592,3580,Yes,Completed
Free,STU100593,0,Yes,Completed
UPI,STU100594,3420,No,Completed
UPI,STU100595,6718,No,Completed
Credit Card,STU100596,3918,No,Completed
Free,STU100597,0,No,Completed
UPI,STU100598,3547,Yes,Completed
Free,STU100599,0,No,Completed
UPI,STU100600,4714,No,Completed
UPI,STU100601,5371,No,Completed
Debit Card,STU100602,4110,No,Completed
Credit Card,STU100603,6119,No,Completed
UPI,STU100604,3106,No,Completed
Credit Card,STU100605,4654,No,Completed
Free,STU100606,0,No,Completed
Credit Card,STU100607,3586,No,Completed
UPI,STU100608,5205,No,Completed
Free,STU100609,0,No,Completed
UPI,STU100610,2795,Yes,Not Completed
UPI,STU100611,3232,Yes,Completed
Credit Card,STU100612,7148,No,Completed
UPI,STU100613,6124,No,Completed
UPI,STU100614,4017,No,Completed
Debit Card,STU100615,4438,No,Completed
NetBanking,STU100616,5261,No,Completed
UPI,STU100617,4076,No,Not Completed
Free,STU100618,0,No,Not Completed
Free,STU100619,0,No,Completed
UPI,STU100620,4501,No,Completed
Debit Card,STU100621,5275,No,Not Completed
Scholarship,STU100622,1872,No,Completed
Credit Card,STU100623,6250,No,Not Completed
NetBanking,STU100624,3611,Yes,Not Completed
UPI,STU100625,4488,No,Not Completed
Debit Card,STU100626,6590,No,Not Completed
UPI,STU100627,4930,No,Not Completed
UPI,STU100628,5218,No,Completed
Debit Card,STU100629,5907,No,Completed
Credit Card,STU100630,3840,No,Completed
UPI,STU100631,3041,Yes,Not Completed
NetBanking,STU100632,3969,Yes,Not Completed
Scholarship,STU100633,1643,Yes,Not Completed
Credit Card,STU100634,4927,No,Completed
Scholarship,STU100635,2028,No,Completed
UPI,STU100636,4629,No,Not Completed
NetBanking,STU100637,6511,No,Completed
UPI,STU100638,5802,No,Not Completed
Debit Card,STU100639,3453,No,Completed
Debit Card,STU100640,6260,No,Not Completed
Free,STU100641,0,No,Not Completed
Debit Card,STU100642,4102,Yes,Completed
Free,STU100643,0,No,Not Completed
Debit Card,STU100644,4137,No,Completed
NetBanking,STU100645,3286,No,Completed
Free,STU100646,0,No,Completed
Free,STU100647,0,No,Completed
Scholarship,STU100648,347,No,Not Completed
Credit Card,STU100649,5376,No,Completed
UPI,STU100650,3004,No,Not Completed
Debit Card,STU100651,3562,No,Completed
UPI,STU100652,3915,Yes,Not Completed
Credit Card,STU100653,6702,No,Not Completed
NetBanking,STU100654,3677,No,Not Completed
Credit Card,STU100655,4385,No,Not Completed
Debit Card,STU100656,5742,No,Not Completed
Debit Card,STU100657,3403,Yes,Not Completed
Free,STU100658,0,No,Completed
UPI,STU100659,6057,No,Completed
Credit Card,STU100660,4483,Yes,Not Completed
Free,STU100661,0,No,Not Completed
Credit Card,STU100662,4788,No,Completed
Free,STU100663,0,Yes,Completed
Free,STU100664,0,No,Not Completed
Debit Card,STU100665,6303,No,Not Completed
Debit Card,STU100666,5695,No,Completed
Debit Card,STU100667,6874,No,Completed
Scholarship,STU100668,1552,No,Completed
UPI,STU100669,3169,No,Not Completed
Scholarship,STU100670,1484,No,Completed
Credit Card,STU100671,4516,No,Not Completed
Free,STU100672,0,No,Not Completed
UPI,STU100673,6434,No,Completed
Scholarship,STU100674,248,No,Not Completed
Credit Card,STU100675,6320,No,Completed
Credit Card,STU100676,4882,No,Completed
Credit Card,STU100677,4330,No,Completed
UPI,STU100678,5287,No,Completed
Debit Card,STU100679,3777,No,Not Completed
NetBanking,STU100680,5213,No,Not Completed
UPI,STU100681,3346,No,Not Completed
Scholarship,STU100682,1815,No,Not Completed
Scholarship,STU100683,1700,Yes,Not Completed
Free,STU100684,0,No,Not Completed
UPI,STU100685,3207,No,Not Completed
Scholarship,STU100686,561,No,Completed
Free,STU100687,0,Yes,Completed
NetBanking,STU100688,3011,No,Not Completed
UPI,STU100689,3325,No,Completed
UPI,STU100690,4912,No,Not Completed
Credit Card,STU100691,4737,No,Not Completed
Scholarship,STU100692,626,Yes,Not Completed
Scholarship,STU100693,992,No,Not Completed
Debit Card,STU100694,3504,No,Not Completed
Scholarship,STU100695,1583,No,Completed
UPI,STU100696,3179,No,Not Completed
Credit Card,STU100697,4866,No,Completed
UPI,STU100698,4099,No,Not Completed
