student_id,satisfaction_rating,support_ticket_raised
STU100098,4.0,3
STU100099,5.0,1
STU100100,2.4,2
STU100101,4.6,1
STU100102,3.4,3
STU100103,3.9,1
STU100104,3.6,3
STU100105,2.1,0
STU100106,3.2,2
STU100107,4.1,1
STU100108,3.0,2
STU100109,3.1,2
STU100110,4.6,2
STU100111,4.5,0
STU100112,4.4,1
STU100113,4.3,0
STU100114,3.9,0
STU100115,4.3,0
STU100116,5.0,1
STU100117,5.0,0
STU100118,4.4,3
STU100119,4.1,1
STU100120,3.3,1
STU100121,4.6,1
STU100122,3.9,0
STU100123,3.0,2
STU100124,3.6,0
STU100125,4.6,0
STU100126,3.9,1
STU100127,5.0,0
STU100128,4.3,1
STU100129,1.4,0
STU100130,4.3,3
STU100131,4.1,0
STU100132,4.1,3
STU100133,5.0,0
STU100134,5.0,1
STU100135,3.2,1
STU100136,4.7,1
STU100137,4.5,0
STU100138,3.2,0
STU100139,4.3,0
STU100140,3.3,1
STU100141,4.4,0
STU100142,3.8,0
STU100143,3.7,1
STU100144,5.0,1
STU100145,2.9,0
STU100146,3.6,2
STU100147,4.1,0
STU100148,5.0,0
STU100149,3.9,3
STU100150,5.0,2
STU100151,4.5,1
STU100152,5.0,1
STU100153,5.0,1
STU100154,3.6,0
STU100155,3.5,1
STU100156,3.4,0
STU100157,3.7,0
STU100158,4.9,0
STU100159,5.0,2
STU100160,4.3,3
STU100161,4.1,4
STU100162,4.0,0
STU100163,4.3,1
STU100164,2.0,0
STU100165,3.6,1
STU100166,4.0,2
STU100167,3.5,1
STU100168,4.4,1
STU100169,3.6,0
STU100170,4.2,1
STU100171,4.8,0
STU100172,3.6,2
STU100173,3.2,1
STU100174,5.0,0
STU100175,5.0,2
STU100176,4.0,0
STU100177,5.0,0
STU100178,5.0,0
STU100179,3.9,0
STU100180,4.2,0
STU100181,4.3,1
STU100182,4.1,0
STU100183,4.9,1
STU100184,3.3,0
STU100185,3.6,1
STU100186,5.0,1
STU100187,5.0,0
STU100188,4.9,1
STU100189,4.9,0
STU100190,4.9,0
STU100191,4.7,0
STU100192,4.4,0
STU100193,3.2,2
STU100194,5.0,0
STU100195,4.2,2
STU100196,4.2,0
STU100197,5.0,1
STU100198,4.5,0
STU100199,4.2,1
STU100200,5.0,1
STU100201,4.3,0
STU100202,4.3,2
STU100203,4.3,3
STU100204,4.5,0
STU100205,3.8,1
STU100206,4.5,1
STU100207,3.5,1
STU100208,4.2,1
STU100209,4.0,0
STU100210,4.9,2
STU100211,3.6,3
STU100212,3.6,0
STU100213,4.7,3
STU100214,3.8,0
STU100215,4.6,0
STU100216,3.6,1
STU100217,3.8,0
STU100218,3.2,2
STU100219,1.9,0
STU100220,3.7,1
STU100221,4.5,1
STU100222,5.0,0
STU100223,5.0,1
STU100224,5.0,0
STU100225,4.7,1
STU100226,4.6,0
STU100227,3.8,0
STU100228,4.6,0
STU100229,4.6,1
STU100230,3.3,1
STU100231,5.0,0
STU100232,2.7,0
STU100233,3.2,3
STU100234,5.0,2
STU100235,3.4,3
STU100236,4.3,1
STU100237,3.6,0
STU100238,5.0,0
STU100239,3.4,1
STU100240,3.7,0
STU100241,3.3,0
STU100242,5.0,1
STU100243,5.0,0
STU100244,4.1,3
STU100245,4.5,0
STU100246,4.8,0
STU100247,4.3,2
STU100248,4.2,0
STU100249,4.5,0
STU100250,4.8,0
STU100251,3.5,1
STU100252,3.7,0
STU100253,5.0,1
STU100254,5.0,1
STU100255,4.2,0
STU100256,4.5,0
STU100257,4.2,1
STU100258,3.5,0
STU100259,3.4,1
STU100260,5.0,2
STU100261,4.9,0
STU100262,5.0,1
STU100263,3.2,0
STU100264,4.3,2
STU100265,2.8,2
STU100266,3.5,2
STU100267,4.0,1
STU100268,5.0,0
STU100269,2.3,0
STU100270,5.0,0
STU100271,2.9,0
STU100272,3.1,0
STU100273,3.1,1
STU100274,4.8,3
STU100275,5.0,0
STU100276,4.0,1
STU100277,4.2,1
STU100278,4.5,0
STU100279,4.4,2
STU100280,5.0,0
STU100281,4.9,0
STU100282,4.2,2
STU100283,5.0,0
STU100284,3.7,1
STU100285,3.4,2
STU100286,4.2,1
STU100287,3.2,0
STU100288,4.2,1
STU100289,4.9,0
STU100290,5.0,3
STU100291,4.2,1
STU100292,4.7,2
STU100293,4.7,1
STU100294,3.4,1
STU100295,4.8,1
STU100296,4.0,0
STU100297,3.2,2
STU100298,4.2,0
STU100299,3.3,0
STU100300,5.0,0
STU100301,2.9,1
STU100302,5.0,2
STU100303,5.0,1
STU100304,3.3,1
STU100305,3.4,3
STU100306,3.7,2
STU100307,4.5,1
STU100308,5.0,1
STU100309,5.0,0
STU100310,4.7,0
STU100311,5.0,1
STU100312,4.9,3
STU100313,3.2,1
STU100314,3.3,3
STU100315,3.3,1
STU100316,4.7,2
STU100317,4.8,1
STU100318,5.0,1
STU100319,3.7,0
STU100320,4.4,1
STU100321,4.4,0
STU100322,5.0,1
STU100323,4.7,1
STU100324,5.0,1
STU100325,5.0,1
STU100326,4.7,1
STU100327,3.7,1
STU100328,4.8,0
STU100329,4.5,0
STU100330,5.0,0
STU100331,4.7,0
STU100332,4.6,1
STU100333,2.8,1
STU100334,3.3,1
STU100335,3.1,1
STU100336,4.5,1
STU100337,3.0,0
STU100338,5.0,2
STU100339,4.3,0
STU100340,3.0,3
STU100341,3.9,0
STU100342,3.7,0
STU100343,5.0,1
STU100344,4.4,1
STU100345,4.5,2
STU100346,5.0,1
STU100347,4.2,1
STU100348,2.9,1
STU100349,4.1,1
STU100350,3.4,3
STU100351,3.8,0
STU100352,4.2,0
STU100353,4.6,1
STU100354,5.0,1
STU100355,5.0,1
STU100356,3.4,0
STU100357,3.9,3
STU100358,3.1,0
STU100359,2.7,1
STU100360,3.0,0
STU100361,5.0,0
STU100362,3.5,3
STU100363,3.3,1
STU100364,4.6,1
STU100365,2.3,0
STU100366,4.8,1
STU100367,3.8,1
STU100368,4.8,1
STU100369,4.6,0
STU100370,3.5,1
STU100371,4.7,1
STU100372,4.2,1
STU100373,4.8,1
STU100374,4.6,1
STU100375,5.0,0
STU100376,4.2,0
STU100377,5.0,0
STU100378,3.2,1
STU100379,5.0,0
STU100380,3.8,2
STU100381,4.6,4
STU100382,4.5,0
STU100383,4.4,2
STU100384,4.6,1
STU100385,5.0,1
STU100386,4.0,2
STU100387,3.5,2
STU100388,5.0,0
STU100389,3.6,0
STU100390,3.6,2
STU100391,2.9,0
STU100392,4.6,0
STU100393,3.9,1
STU100394,3.5,1
STU100395,4.1,0
STU100396,4.1,1
STU100397,3.5,0
STU100398,4.6,1
STU100399,3.4,2
STU100400,4.7,1
STU100401,5.0,0
STU100402,3.6,2
STU100403,3.5,1
STU100404,4.1,0
STU100405,4.2,2
STU100406,4.7,3
STU100407,5.0,3
STU100408,4.4,3
STU100409,3.0,1
STU100410,3.8,0
STU100411,5.0,2
STU100412,4.6,1
STU100413,3.9,2
STU100414,4.1,1
STU100415,3.9,2
STU100416,4.1,1
STU100417,4.5,0
STU100418,3.7,0
STU100419,4.9,0
STU100420,3.5,1
STU100421,4.8,1
STU100422,2.9,3
STU100423,4.8,0
STU100424,4.4,2
STU100425,4.4,1
STU100426,3.5,0
STU100427,3.3,1
STU100428,5.0,0
STU100429,4.6,1
STU100430,5.0,2
STU100431,4.5,0
STU100432,5.0,2
STU100433,4.2,1
STU100434,5.0,0
STU100435,4.4,0
STU100436,5.0,0
STU100437,3.2,1
STU100438,5.0,1
STU100439,4.0,0
STU100440,4.6,1
STU100441,3.9,1
STU100442,4.8,0
STU100443,3.5,0
STU100444,3.8,2
STU100445,3.4,0
STU100446,4.1,0
STU100447,5.0,2
STU100448,4.1,1
STU100449,3.7,0
STU100450,3.1,1
STU100451,2.2,0
STU100452,4.6,0
STU100453,3.5,1
STU100454,5.0,0
STU100455,5.0,0
STU100456,4.3,1
STU100457,3.9,4
STU100458,2.3,1
STU100459,3.9,0
STU100460,4.4,1
STU100461,4.6,2
STU100462,3.2,1
STU100463,2.8,3
STU100464,2.9,1
STU100465,4.9,0
STU100466,4.4,0
STU100467,4.1,2
STU100468,4.3,1
STU100469,3.2,1
STU100470,2.6,2
STU100471,3.6,0
STU100472,4.6,1
STU100473,4.6,2
STU100474,4.7,0
STU100475,4.3,2
STU100476,3.6,2
STU100477,4.8,1
STU100478,3.0,1
STU100479,5.0,1
STU100480,5.0,0
STU100481,4.9,2
STU100482,4.4,0
STU100483,4.5,0
STU100484,4.4,1
STU100485,4.1,0
STU100486,4.1,1
STU100487,5.0,1
STU100488,4.9,1
STU100489,4.0,1
STU100490,4.1,0
STU100491,5.0,0
STU100492,3.1,2
STU100493,3.7,0
STU100494,3.2,0
STU100495,4.7,0
STU100496,5.0,1
STU100497,5.0,0
STU100498,5.0,2
STU100499,5.0,2
STU100500,4.4,1
STU100501,4.2,0
STU100502,3.9,2
STU100503,4.4,1
STU100504,5.0,2
STU100505,3.5,0
STU100506,4.7,0
STU100507,3.4,1
STU100508,3.8,1
STU100509,4.0,0
STU100510,5.0,0
STU100511,3.9,1
STU100512,4.4,1
STU100513,3.5,0
STU100514,5.0,1
STU100515,3.4,1
STU100516,2.9,1
STU100517,5.0,2
STU100518,3.8,0
STU100519,4.2,3
STU100520,3.6,1
STU100521,3.1,1
STU100522,4.1,0
STU100523,5.0,1
STU100524,5.0,0
STU100525,5.0,1
STU100526,2.7,0
STU100527,4.5,0
STU100528,3.9,1
STU100529,3.5,1
STU100530,4.8,3
STU100531,3.5,0
STU100532,4.1,0
STU100533,4.4,0
STU100534,4.4,1
STU100535,4.3,1
STU100536,5.0,2
STU100537,4.0,0
STU100538,4.5,0
STU100539,4.7,0
STU100540,4.1,0
STU100541,4.0,1
STU100542,5.0,0
STU100543,4.6,3
STU100544,3.6,0
STU100545,4.7,0
STU100546,4.7,1
STU100547,3.4,2
STU100548,3.1,0
STU100549,5.0,1
STU100550,4.7,2
STU100551,4.8,1
STU100552,4.3,0
STU100553,5.0,1
STU100554,4.4,2
STU100555,3.8,2
STU100556,5.0,0
STU100557,5.0,1
STU100558,3.7,0
STU100559,3.1,0
STU100560,3.6,0
STU100561,3.8,2
STU100562,4.7,2
STU100563,5.0,1
STU100564,4.2,2
STU100565,3.8,1
STU100566,3.8,0
STU100567,5.0,1
STU100568,4.6,2
STU100569,3.2,2
STU100570,3.9,0
STU100571,4.2,1
STU100572,4.7,0
STU100573,5.0,0
STU100574,2.9,1
STU100575,3.3,0
STU100576,2.8,1
STU100577,4.3,0
STU100578,5.0,0
STU100579,4.0,3
STU100580,4.7,1
STU100581,4.8,1
STU100582,5.0,2
STU100583,3.9,2
STU100584,5.0,1
STU100585,3.2,0
STU100586,5.0,4
STU100587,4.0,1
STU100588,3.8,1
STU100589,4.9,0
STU100590,4.5,0
STU100591,5.0,0
STU100592,3.6,0
STU100593,3.7,1
STU100594,5.0,1
STU100595,4.8,0
STU100596,5.0,0
STU100597,3.3,4
STU100598,4.7,0
STU100599,3.3,1
STU100600,3.8,0
STU100601,3.8,0
STU100602,4.4,1
STU100603,3.4,0
STU100604,5.0,2
STU100605,2.7,1
STU100606,4.6,1
STU100607,2.2,0
STU100608,3.5,0
STU100609,4.9,1
STU100610,3.4,3
STU100611,4.0,0
STU100612,3.7,1
STU100613,3.8,1
STU100614,3.0,1
STU100615,4.1,0
STU100616,4.4,1
STU100617,4.3,1
STU100618,4.7,0
STU100619,2.6,0
STU100620,5.0,1
STU100621,4.6,0
STU100622,3.7,0
STU100623,4.5,0
STU100624,3.6,1
STU100625,3.1,0
STU100626,4.6,0
STU100627,3.2,2
STU100628,4.9,4
STU100629,3.7,1
STU100630,3.8,2
STU100631,4.3,0
STU100632,3.8,0
STU100633,4.0,2
STU100634,4.4,1
STU100635,2.5,2
STU100636,4.3,1
STU100637,3.8,1
STU100638,3.0,1
STU100639,3.8,2
STU100640,4.5,0
STU100641,4.0,1
STU100642,4.4,1
STU100643,4.5,0
STU100644,4.4,0
STU100645,3.2,0
STU100646,4.7,2
STU100647,4.7,2
STU100648,3.3,1
STU100649,3.0,0
STU100650,3.5,1
STU100651,4.2,1
STU100652,4.1,0
STU100653,3.1,0
STU100654,3.3,0
STU100655,4.2,0
STU100656,4.3,0
STU100657,3.7,0
STU100658,3.2,0
STU100659,3.3,0
STU100660,4.0,0
STU100661,4.0,0
STU100662,5.0,0
STU100663,4.4,0
STU100664,4.9,0
STU100665,3.7,2
STU100666,4.6,1
STU100667,4.6,0
STU100668,4.8,3
STU100669,4.2,1
STU100670,4.0,1
STU100671,3.9,1
STU100672,5.0,0
STU100673,4.0,0
STU100674,3.0,4
STU100675,4.5,1
STU100676,4.6,0
STU100677,3.3,3
STU100678,3.9,0
STU100679,2.8,1
STU100680,4.0,1
STU100681,4.4,1
STU100682,5.0,0
STU100683,5.0,0
STU100684,4.9,2
STU100685,5.0,1
STU100686,5.0,0
STU100687,4.5,1
STU100688,5.0,3
STU100689,2.5,1
STU100690,3.6,0
STU100691,3.5,1
STU100692,5.0,0
STU100693,4.2,3
STU100694,4.1,1
STU100695,4.2,0
STU100696,3.5,0
STU100697,4.2,0
STU100698,4.8,2
STU100699,3.5,1
STU100700,4.3,0
STU100701,4.3,0
STU100702,3.1,2
STU100703,3.8,1
STU100704,5.0,0
STU100705,3.3,0
STU100706,4.2,1
STU100707,4.4,2
STU100708,3.9,1
STU100709,3.6,0
STU100710,2.7,0
STU100711,3.8,1
STU100712,3.8,1
STU100713,3.7,1
STU100714,5.0,0
STU100715,4.1,2
STU100716,4.7,2
STU100717,3.4,1
STU100718,4.1,1
STU100719,2.7,1
STU100720,3.4,0
STU100721,5.0,3
STU100722,3.9,1
STU100723,3.8,0
STU100724,3.6,0
STU100725,3.5,1
STU100726,2.9,1
STU100727,4.3,2
STU100728,3.7,4
STU100729,4.1,2
STU100730,3.6,0
STU100731,3.9,0
STU100732,4.0,1
STU100733,4.0,1
STU100734,4.8,3
STU100735,5.0,0
STU100736,4.5,0
STU100737,4.4,0
STU100738,4.0,3
STU100739,4.1,2
STU100740,3.6,1
STU100741,3.2,2
STU100742,3.1,0
STU100743,5.0,1
STU100744,3.5,1
STU100745,5.0,2
STU100746,3.6,1
STU100747,2.6,1
STU100748,4.3,2
STU100749,5.0,0
STU100750,5.0,2
STU100751,5.0,2
STU100752,4.6,0
STU100753,3.3,1
STU100754,3.5,1
STU100755,3.7,0
STU100756,3.8,1
STU100757,4.6,1
STU100758,3.7,0
STU100759,3.8,0
STU100760,3.5,3
STU100761,4.1,1
STU100762,4.0,1
STU100763,4.4,1
STU100764,5.0,1
STU100765,4.7,1
STU100766,5.0,0
STU100767,4.1,0
STU100768,3.2,1
STU100769,4.3,0
STU100770,2.9,1
STU100771,3.7,0
STU100772,4.2,3
STU100773,3.8,0
STU100774,4.6,0
STU100775,4.3,2
STU100776,4.0,1
STU100777,4.1,0
STU100778,4.7,0
STU100779,2.6,1
STU100780,5.0,0
STU100781,4.8,1
STU100782,4.8,3
STU100783,4.3,0
STU100784,5.0,2
STU100785,4.8,1
STU100786,5.0,1
STU100787,4.8,0
STU100788,3.5,2
STU100789,4.3,1
STU100790,4.9,0
STU100791,4.3,0
STU100792,4.7,0
STU100793,4.7,0
STU100794,2.3,0
STU100795,5.0,5
STU100796,3.8,1
STU100797,4.4,1
STU100798,5.0,0
STU100799,3.6,0
STU100800,4.9,0
STU100801,3.0,0
STU100802,5.0,3
STU100803,3.9,0
STU100804,4.9,2
STU100805,3.8,0
STU100806,4.0,0
STU100807,3.5,1
STU100808,4.2,1
STU100809,4.0,2
STU100810,4.5,0
STU100811,5.0,1
STU100812,3.0,0
STU100813,4.4,1
STU100814,3.8,0
STU100815,4.2,0
STU100816,5.0,0
STU100817,4.5,0
STU100818,4.3,0
STU100819,4.8,0
STU100820,3.8,0
STU100821,3.8,1
STU100822,4.0,0
STU100823,5.0,1
STU100824,4.9,2
STU100825,3.8,1
STU100826,3.3,0
STU100827,3.2,1
STU100828,3.8,0
STU100829,4.9,0
STU100830,4.7,2
STU100831,2.8,1
STU100832,3.7,2
STU100833,4.9,0
STU100834,4.0,0
STU100835,4.0,2
STU100836,4.4,2
STU100837,4.3,0
STU100838,3.4,1
STU100839,4.5,0
STU100840,3.6,1
STU100841,5.0,3
STU100842,4.6,0
STU100843,4.5,1
STU100844,5.0,1
STU100845,5.0,0
STU100846,3.9,1
STU100847,2.9,0
STU100848,3.9,2
STU100849,3.4,0
STU100850,4.7,1
STU100851,5.0,2
STU100852,3.3,0
STU100853,3.0,0
STU100854,4.4,0
STU100855,4.3,2
STU100856,5.0,2
STU100857,3.9,0
STU100858,4.9,1
STU100859,4.4,0
STU100860,2.6,2
STU100861,4.7,0
STU100862,4.1,0
STU100863,4.3,1
STU100864,4.2,1
STU100865,3.3,2
STU100866,4.2,0
STU100867,4.3,0
STU100868,4.4,0
STU100869,4.6,1
STU100870,2.8,2
STU100871,3.9,1
STU100872,4.1,1
STU100873,4.0,0
STU100874,4.4,0
STU100875,4.6,2
STU100876,4.8,1
STU100877,4.1,1
STU100878,3.4,1
STU100879,3.5,1
STU100880,3.2,0
STU100881,3.9,0
STU100882,3.9,0
STU100883,4.4,1
STU100884,2.1,2
STU100885,4.0,1
STU100886,2.8,1
STU100887,4.2,0
STU100888,4.3,2
STU100889,3.6,0
STU100890,3.4,0
STU100891,4.8,1
STU100892,4.0,1
STU100893,5.0,1
STU100894,4.1,0
STU100895,4.6,0
STU100896,4.3,1
STU100897,4.8,1
STU100898,4.8,0
STU100899,5.0,1
STU100900,5.0,1
STU100901,4.1,0
STU100902,3.0,0
STU100903,4.7,1
STU100904,3.9,2
STU100905,4.1,0
STU100906,3.7,1
STU100907,3.5,2
STU100908,4.0,1
STU100909,4.6,0
STU100910,3.6,0
STU100911,4.7,1
STU100912,5.0,2
STU100913,4.3,3
STU100914,3.5,0
STU100915,2.7,2
STU100916,5.0,0
STU100917,4.4,4
STU100918,4.2,0
STU100919,4.6,1
STU100920,4.6,1
STU100921,4.3,2
STU100922,5.0,1
STU100923,2.1,0
STU100924,4.0,0
STU100925,2.5,1
STU100926,4.5,0
STU100927,3.1,2
STU100928,3.9,0
STU100929,3.8,0
STU100930,5.0,1
STU100931,2.9,1
STU100932,4.2,2
STU100933,4.4,0
STU100934,3.8,1
STU100935,4.2,1
STU100936,4.2,2
STU100937,2.4,1
STU100938,4.0,3
STU100939,5.0,1
STU100940,4.5,0
STU100941,3.2,0
STU100942,4.9,1
STU100943,4.0,1
STU100944,3.8,0
STU100945,3.7,2
STU100946,4.6,1
STU100947,3.6,0
STU100948,5.0,2
STU100949,4.3,0
STU100950,5.0,1
STU100951,5.0,0
STU100952,2.0,1
STU100953,4.2,2
STU100954,3.1,0
STU100955,5.0,0
STU100956,4.1,3
STU100957,4.5,0
STU100958,4.8,2
STU100959,5.0,1
STU100960,4.3,1
STU100961,4.7,1
STU100962,4.9,0
STU100963,3.4,2
STU100964,4.2,0
STU100965,3.2,0
STU100966,5.0,1
STU100967,5.0,1
STU100968,5.0,0
STU100969,4.5,0
STU100970,3.8,1
STU100971,4.5,0
STU100972,3.8,2
STU100973,4.6,0
STU100974,3.3,1
STU100975,5.0,0
STU100976,4.7,1
STU100977,3.9,0
STU100978,3.7,2
STU100979,5.0,1
STU100980,5.0,0
STU100981,3.9,1
STU100982,3.5,2
STU100983,4.1,2
STU100984,4.3,0
STU100985,3.3,1
STU100986,4.1,2
STU100987,4.4,0
STU100988,5.0,1
STU100989,3.7,1
STU100990,4.5,0
STU100991,4.3,1
STU100992,4.0,0
STU100993,4.7,1
STU100994,4.9,0
STU100995,4.3,0
STU100996,3.6,2
STU100997,3.9,0
STU100998,3.9,1
STU100999,4.2,1
STU101000,3.0,0
STU101001,4.8,2
STU101002,4.3,3
STU101003,4.1,3
STU101004,4.9,0
STU101005,4.2,2
STU101006,4.5,1
STU101007,3.7,0
STU101008,3.9,1
STU101009,5.0,1
STU101010,5.0,0
STU101011,3.8,1
STU101012,3.9,0
STU101013,4.2,0
STU101014,5.0,0
STU101015,3.6,2
STU101016,5.0,2
STU101017,4.6,0
STU101018,4.5,2
STU101019,4.6,1
STU101020,4.3,1
STU101021,4.7,0
STU101022,4.3,1
STU101023,4.1,1
STU101024,3.7,0
STU101025,5.0,0
STU101026,5.0,1
STU101027,2.5,1
STU101028,2.9,2
STU101029,5.0,0
STU101030,3.8,2
STU101031,4.1,1
STU101032,4.6,0
STU101033,2.2,3
STU101034,4.8,0
STU101035,4.0,1
STU101036,3.3,2
STU101037,4.2,0
STU101038,3.2,0
STU101039,5.0,0
STU101040,4.6,1
STU101041,4.2,1
STU101042,3.6,1
STU101043,3.2,0
STU101044,4.5,0
STU101045,3.4,0
STU101046,4.6,1
STU101047,4.3,2
STU101048,4.3,0
STU101049,5.0,1
STU101050,3.8,0
STU101051,4.2,2
STU101052,4.9,0
STU101053,5.0,0
STU101054,4.1,0
STU101055,3.9,2
STU101056,4.2,1
STU101057,4.6,1
STU101058,3.6,2
STU101059,4.6,3
STU101060,3.8,0
STU101061,4.6,1
STU101062,4.7,0
STU101063,4.5,2
STU101064,4.8,3
STU101065,4.8,0
STU101066,3.3,2
STU101067,2.6,1
STU101068,3.9,1
STU101069,2.9,1
STU101070,5.0,0
STU101071,4.9,0
STU101072,4.4,2
STU101073,4.0,1
STU101074,5.0,0
STU101075,4.4,0
STU101076,4.7,2
STU101077,4.7,0
STU101078,4.4,0
STU101079,4.8,0
STU101080,3.3,2
STU101081,3.6,1
STU101082,3.5,2
STU101083,4.0,1
STU101084,5.0,0
STU101085,4.3,0
STU101086,4.8,0
STU101087,4.0,0
STU101088,3.6,0
STU101089,4.2,1
STU101090,3.6,0
STU101091,4.3,1
STU101092,5.0,0
STU101093,4.2,1
STU101094,5.0,4
STU101095,4.0,0
STU101096,3.1,1
STU101097,3.6,3
STU101098,4.1,1
STU101099,5.0,0
STU101100,5.0,2
STU101101,3.6,3
STU101102,2.9,0
STU101103,3.8,0
STU101104,5.0,0
STU101105,5.0,0
STU101106,5.0,0
STU101107,4.4,0
STU101108,3.9,0
STU101109,4.4,0
STU101110,4.8,1
STU101111,5.0,0
STU101112,5.0,0
STU101113,3.1,1
STU101114,5.0,0
STU101115,4.4,0
STU101116,5.0,0
STU101117,4.2,0
STU101118,4.9,0
STU101119,4.3,1
STU101120,5.0,1
STU101121,5.0,1
STU101122,5.0,0
STU101123,3.6,2
STU101124,3.8,2
STU101125,4.6,2
STU101126,4.8,0
STU101127,4.5,0
STU101128,4.4,1
STU101129,3.9,1
STU101130,5.0,1
STU101131,4.8,0
STU101132,5.0,2
STU101133,4.6,2
STU101134,4.4,1
STU101135,3.6,2
STU101136,3.7,1
STU101137,5.0,0
STU101138,2.9,1
STU101139,4.6,1
STU101140,5.0,2
STU101141,3.8,0
STU101142,3.6,0
STU101143,3.8,1
STU101144,4.4,2
STU101145,4.5,1
STU101146,4.8,1
STU101147,4.5,1
STU101148,5.0,1
STU101149,4.6,2
STU101150,4.2,1
STU101151,3.7,0
STU101152,3.4,0
STU101153,5.0,1
STU101154,4.7,0
STU101155,3.9,0
STU101156,4.3,0
STU101157,4.5,1
STU101158,3.9,0
STU101159,3.7,0
STU101160,5.0,2
STU101161,3.5,1
STU101162,5.0,3
STU101163,4.0,0
STU101164,4.0,0
STU101165,5.0,4
STU101166,4.1,2
STU101167,3.5,0
STU101168,4.8,1
STU101169,3.9,0
STU101170,3.7,0
STU101171,4.0,1
STU101172,4.1,0
STU101173,4.5,1
STU101174,4.6,0
STU101175,4.2,1
STU101176,4.6,0
STU101177,5.0,1
STU101178,2.4,0
STU101179,4.3,0
STU101180,4.2,0
STU101181,3.7,0
STU101182,3.7,2
STU101183,3.1,0
STU101184,5.0,1
STU101185,4.1,1
STU101186,4.6,0
STU101187,3.8,0
STU101188,5.0,0
STU101189,4.9,0
STU101190,5.0,0
STU101191,4.4,2
STU101192,5.0,1
STU101193,5.0,1
STU101194,4.4,1
STU101195,5.0,0
STU101196,3.9,0
STU101197,4.6,0
STU101198,2.6,3
STU101199,2.7,0
STU101200,3.3,0
STU101201,4.1,0
STU101202,4.4,0
STU101203,3.9,0
STU101204,3.8,0
STU101205,4.0,2
STU101206,4.4,0
STU101207,4.6,1
STU101208,3.7,1
STU101209,5.0,0
STU101210,5.0,2
STU101211,3.8,3
STU101212,3.7,1
STU101213,4.6,0
STU101214,4.5,2
STU101215,3.9,0
STU101216,4.3,1
STU101217,4.3,1
STU101218,4.1,2
STU101219,4.3,1
STU101220,4.9,2
STU101221,5.0,0
STU101222,4.1,2
STU101223,3.9,2
STU101224,5.0,1
STU101225,4.0,1
STU101226,4.7,0
STU101227,4.3,1
STU101228,4.3,0
STU101229,4.3,1
STU101230,5.0,1
STU101231,5.0,2
STU101232,4.5,2
STU101233,3.6,0
STU101234,3.4,1
STU101235,4.3,2
STU101236,4.4,1
STU101237,3.4,1
STU101238,3.0,1
STU101239,5.0,0
STU101240,4.6,0
STU101241,4.2,0
STU101242,3.0,0
STU101243,5.0,1
STU101244,4.1,0
STU101245,4.1,1
STU101246,4.3,1
STU101247,3.9,0
STU101248,2.6,0
STU101249,3.5,3
STU101250,3.9,0
STU101251,4.4,0
STU101252,3.6,2
STU101253,3.4,0
STU101254,4.7,1
STU101255,4.5,2
STU101256,5.0,0
STU101257,3.9,0
STU101258,5.0,2
STU101259,3.5,0
STU101260,4.5,1
STU101261,4.5,0
STU101262,4.7,0
STU101263,3.5,2
STU101264,3.9,0
STU101265,3.8,0
STU101266,3.4,0
STU101267,3.8,0
